Nikita Kucherov;9500000;TBL;F
Brayden Point;9500000;TBL;F
Steven Stamkos;8500000;TBL;F
Anthony Cirelli;6250000;TBL;F
Nicholas Paul;3150000;TBL;F
Tanner Jeannot;2665000;TBL;F
Conor Sheary;2000000;TBL;F
Brandon Hagel;1500000;TBL;F
Josh Archibald;800000;TBL;F
Michael Eyssimont;800000;TBL;F
Luke Glendening;800000;TBL;F
Tyler Motte;800000;TBL;F
Logan Brown;775000;TBL;F
Alex Barre Boulet;758333;TBL;F
Mikhail Sergachev;8500000;TBL;D
Victor Hedman;7875000;TBL;D
Erik Cernak;5200000;TBL;D
Nick Perbix;1125000;TBL;D
Zach Bogosian;850000;TBL;D
Calvin De Haan;775000;TBL;D
Haydn Fleury;762500;TBL;D
Darren Raddysh;762500;TBL;D
Andrei Vasilevskiy;9500000;TBL;G
Jonas Johansson;775000;TBL;G
Brent Seabrook;6875000;TBL;None
Austin Watson;0;TBL;None
Ilya Usau;897500;TBL;F
Waltteri Merela;870000;TBL;F
Maxim Groshev;867500;TBL;F
Lucas Edmonds;861667;TBL;F
Bennett Macarthur;859167;TBL;F
Felix Robert;857500;TBL;F
Jaydon Dureau;841667;TBL;F
Gage Goncalves;820000;TBL;F
Jack Finley;797500;TBL;F
Gabriel Fortier;775000;TBL;F
Cole Koepke;775000;TBL;F
Mitchell Chaffee;775000;TBL;F
Philippe Myers;1400000;TBL;D
Emil Martinsen Lilleberg;870000;TBL;D
Maxwell Crozier;867500;TBL;D
Declan Carlile;855000;TBL;D
Jack Thompson;828333;TBL;D
Roman Schmidt;805833;TBL;D
Sean Day;775000;TBL;D
Hugo Alnefelt;850833;TBL;G
Matt Tomkins;775000;TBL;G
Alex Ovechkin;9500000;WAS;F
Nicklas Backstrom;9200000;WAS;F
Evgeny Kuznetsov;7800000;WAS;F
Tj Oshie;5750000;WAS;F
Anthony Mantha;5700000;WAS;F
Tom Wilson;5166667;WAS;F
Dylan Strome;5000000;WAS;F
Sonny Milano;1900000;WAS;F
Nic Dowd;1300000;WAS;F
Nicolas Aube Kubel;1225000;WAS;F
Joe Snively;800000;WAS;F
Aliaksei Protas;789167;WAS;F
John Carlson;8000000;WAS;D
Nick Jensen;4050000;WAS;D
Trevor Van Riemsdyk1;3000000;WAS;D
Martin Fehervary;2675000;WAS;D
Joel Edmundson;1750000;WAS;D
Rasmus Sandin;1400000;WAS;D
Alexander Alexeyev;825000;WAS;D
Darcy Kuemper;5250000;WAS;G
Charlie Lindgren;1100000;WAS;G
Max Pacioretty;2000000;WAS;None
Ivan Miroshnichenko;950000;WAS;F
Andrew Cristall;905000;WAS;F
Pierrick Dube;870000;WAS;F
Hendrix Lapierre;863333;WAS;F
Connor Mcmichael;863333;WAS;F
Henry Rybinski;859167;WAS;F
Bogdan Trineyev;859167;WAS;F
Ryan Hofer;851667;WAS;F
Ludwig Persson;846667;WAS;F
Alexander Suzdalev;846667;WAS;F
Ethen Frank;775000;WAS;F
Riley Sutter;775000;WAS;F
Alex Limoges;775000;WAS;F
Matthew Phillips;775000;WAS;F
Michael Sgarbossa;775000;WAS;F
Beck Malenstyn;762500;WAS;F
Hardy Haman Aktell;870000;WAS;D
Vincent Iorio;814167;WAS;D
Dylan Mcilrath;775000;WAS;D
Chase Priskie;775000;WAS;D
Lucas Johansen;762500;WAS;D
Mitchell Gibson;867500;WAS;G
Clay Stevenson;855000;WAS;G
Garin Bjorklund;843333;WAS;G
Hunter Shepard;775000;WAS;G
Jordan Kyrou;8125000;STL;F
Robert Thomas;8125000;STL;F
Brayden Schenn;6500000;STL;F
Pavel Buchnevich;5800000;STL;F
Brandon Saad;4500000;STL;F
Kevin Hayes;3571429;STL;F
Kasperi Kapanen;3200000;STL;F
Jakub Vrana;2625000;STL;F
Alexey Toropchenko;1250000;STL;F
Samuel Blais;1000000;STL;F
Jake Neighbours;835833;STL;F
Nikita Alexandrov;816667;STL;F
Oskar Sundqvist;775000;STL;F
Justin Faulk;6500000;STL;D
Torey Krug;6500000;STL;D
Colton Parayko;6500000;STL;D
Nick Leddy;4000000;STL;D
Marco Scandella;3275000;STL;D
Robert Bortuzzo;950000;STL;D
Tyler Tucker;800000;STL;D
Calle Rosen;762500;STL;D
Jordan Binnington;6000000;STL;G
Joel Hofer;775000;STL;G
Tanner Dickinson;0;STL;None
Dalibor Dvorsky;950000;STL;F
Andre Heim;950000;STL;F
Zachary Bolduc;863333;STL;F
Keean Washkurak;862500;STL;F
Zach Dean;852500;STL;F
Mikhail Abramov;809444;STL;F
Adam Gaudette;775000;STL;F
Mathias Laferriere;775000;STL;F
Hugh Mcging;775000;STL;F
Mackenzie Maceachern;775000;STL;F
Nathan Walker;775000;STL;F
Will Bitten;762500;STL;F
Matthew Peca;762500;STL;F
Anton Malmstrom;910000;STL;D
Matthew Kessel;883750;STL;D
Michael Buchinger;870000;STL;D
Leo Loof;867500;STL;D
Hunter Skinner;850833;STL;D
Marc Andre Gaudet;830000;STL;D
Jeremie Biakabutuka;825000;STL;D
Scott Perunovich;775000;STL;D
Josh Jacobs;775000;STL;D
Wyatt Kalynuk;775000;STL;D
Colten Ellis;850833;STL;G
Vadim Zherenko;846667;STL;G
Will Cranley;841667;STL;G
Malcolm Subban;775000;STL;G
Connor Mcdavid;12500000;EDM;F
Leon Draisaitl;8500000;EDM;F
Zach Hyman;5500000;EDM;F
Evander Kane;5125000;EDM;F
Ryan Nugent Hopkins;5125000;EDM;F
Warren Foegele;2750000;EDM;F
Ryan Mcleod;2100000;EDM;F
Mattias Janmark;1000000;EDM;F
Dylan Holloway;925000;EDM;F
Derek Ryan;900000;EDM;F
Raphael Lavoie;874125;EDM;F
Connor Brown;775000;EDM;F
Lane Pederson;775000;EDM;F
Darnell Nurse;9250000;EDM;D
Mattias Ekholm;6000000;EDM;D
Evan Bouchard;3900000;EDM;D
Cody Ceci;3250000;EDM;D
Brett Kulak;2750000;EDM;D
Vincent Desharnais;762500;EDM;D
Markus Niemelainen;762500;EDM;D
Jack Campbell;5000000;EDM;G
Stuart Skinner;2600000;EDM;G
Brandon Sutter;0;EDM;None
Sam Gagner;0;EDM;None
Carl Berglund;950000;EDM;F
Xavier Bourgault;925000;EDM;F
Carter Savoie;925000;EDM;F
