NHL;Player;new;old;Pos;GP;G / W;A / SO;P;GG;AA;PP;Salary;PoolRank;OT
20;Roman Josi;NAS;NSH;D;80;23;73;96;69;146;215;9059000;1;0
28;Cale Makar;COL;COL;D;77;28;58;86;84;116;200;9000000;2;0
38;Victor Hedman;TBL;TBL;D;82;20;65;85;60;130;190;7875000;3;0
1;Connor McDavid;EDM;EDM;C;80;44;79;123;88;79;167;12500000;4;0
3;Auston Matthews;TOR;TOR;C;73;60;46;106;120;46;166;11640250;5;0
6;Leon Draisaitl;EDM;EDM;C;80;55;55;110;110;55;165;8500000;6;0
9999;Jacob Markstrom;CGY;CGY;G;63;37;9;0;111;45;165;6000000;7;9
67;Adam Fox;NYR;NYR;D;78;11;63;74;33;126;159;9500000;8;0
74;John Carlson;WAS;WSH;D;78;17;54;71;51;108;159;8000000;9;0
5;Johnny Gaudreau;CLB;CGY;L;82;40;75;115;80;75;155;9750000;10;0
9;Kirill Kaprizov;MIN;MIN;L;81;47;61;108;94;61;155;9000000;11;0
11;Steven Stamkos;TBL;TBL;C;81;42;64;106;84;64;148;8500000;12;0
13;Matthew Tkachuk;FLA;CGY;L;82;42;62;104;84;62;146;9500000;13;0
84;Kris Letang;PIT;PIT;D;78;10;58;68;30;116;146;6100000;14;0
98;Morgan Rielly;TOR;TOR;D;82;10;58;68;30;116;146;7500000;15;0
4;Jonathan Huberdeau;CGY;FLA;L;80;30;85;115;60;85;145;5900000;16;0
78;Quinn Hughes;VAN;VAN;D;76;8;60;68;24;120;144;7850000;17;0
9999;Igor Shesterkin;NYR;NYR;G;52;36;6;0;108;30;142;5666667;18;4
22;Kyle Connor;WPG;WPG;L;79;47;46;93;94;46;140;7142857;19;0
23;Alex Ovechkin;WAS;WSH;L;77;50;40;90;100;40;140;9500000;20;0
9999;Darcy Kuemper;WAS;COL;G;57;37;5;0;111;25;140;5250000;21;4
9999;Juuse Saros;NAS;NSH;G;67;38;4;0;114;20;137;5000000;22;3
