Nikita Kucherov;9500000;TBL
Brayden Point;9500000;TBL
Steven Stamkos;8500000;TBL
Alex Killorn;4450000;TBL
Nicholas Paul;3150000;TBL
Vladislav Namestnikov;2500000;TBL
Brandon Hagel;1500000;TBL
Ross Colton;1125000;TBL
Pierre Edouard Bellemare;1000000;TBL
Corey Perry;1000000;TBL
Patrick Maroon;1000000;TBL
Alex Barre Boulet;758333;TBL
Victor Hedman;7875000;TBL
Mikhail Sergachev;4800000;TBL
Ian Cole;3000000;TBL
Erik Cernak;2950000;TBL
Philippe Myers;2550000;TBL
Cal Foote;850000;TBL
Haydn Fleury;762500;TBL
Andrei Vasilevskiy;9500000;TBL
Brian Elliott;900000;TBL
Anthony Cirelli;4800000;TBL
Zach Bogosian;850000;TBL
Brent Seabrook;6875000;TBL
Ilya Usau;897500;TBL
Lucas Edmonds;861667;TBL
Bennett Macarthur;859167;TBL
Felix Robert;857500;TBL
Maxim Cajkovic;850833;TBL
Cole Koepke;842500;TBL
Grant Mismash;842500;TBL
Jaydon Dureau;841667;TBL
Gage Goncalves;820000;TBL
Jack Finley;797500;TBL
Gabriel Fortier;791667;TBL
Gemel Smith;750000;TBL
Daniel Walcott;750000;TBL
Simon Ryfors;750000;TBL
Declan Carlile;855000;TBL
Nick Perbix;842500;TBL
Roman Schmidt;828333;TBL
Jack Thompson;828333;TBL
Dmitri Semykin;813333;TBL
Darren Raddysh;762500;TBL
Sean Day;750000;TBL
Trevor Carrick;750000;TBL
Hugo Alnefelt;850833;TBL
Maxime Lagace;750000;TBL
Alex Ovechkin;9500000;WAS
Evgeny Kuznetsov;7800000;WAS
Tj Oshie;5750000;WAS
Anthony Mantha;5700000;WAS
Connor Brown;3600000;WAS
Lars Eller;3500000;WAS
Dylan Strome;3500000;WAS
Garnet Hathaway;1500000;WAS
Conor Sheary;1500000;WAS
Nic Dowd;1300000;WAS
Marcus Johansson;1100000;WAS
Connor Mcmichael;863333;WAS
Axel Jonsson Fjallby;750000;WAS
John Carlson;8000000;WAS
Dmitry Orlov;5100000;WAS
Nick Jensen;2500000;WAS
Trevor Van Riemsdyk1;950000;WAS
Erik Gustafsson;800000;WAS
Martin Fehervary;791667;WAS
Matt Irwin;750000;WAS
Darcy Kuemper;5250000;WAS
Charlie Lindgren;1100000;WAS
Nicklas Backstrom;9200000;WAS
Tom Wilson;5166666;WAS
Carl Hagelin;2750000;WAS
Ludwig Persson;878333;WAS
Alexander Suzdalev;878333;WAS
Hendrix Lapierre;863333;WAS
Henry Rybinski;859167;WAS
Bogdan Trineyev;859167;WAS
Kody Clark;808333;WAS
Joe Snively;800000;WAS
Aliaksei Protas;789167;WAS
Brett Leason;775000;WAS
Riley Sutter;764167;WAS
Beck Malenstyn;762500;WAS
Henrik Borgstrom;750000;WAS
Garrett Pilon;750000;WAS
Michael Sgarbossa;750000;WAS
Michael Vecchione;750000;WAS
Alexander Alexeyev;863333;WAS
Vincent Iorio;845000;WAS
Lucas Johansen;762500;WAS
Dylan Mcilrath;750000;WAS
Bobby Nardella;750000;WAS
Gabriel Carlsson;750000;WAS
Clay Stevenson;855000;WAS
Garin Bjorklund;843333;WAS
Zachary Fucale;750000;WAS
Hunter Shepard;750000;WAS
Ryan Oreilly;7500000;STL
Vladimir Tarasenko;7500000;STL
Brayden Schenn;6500000;STL
Pavel Buchnevich;5800000;STL
Brandon Saad;4500000;STL
Jordan Kyrou;2800000;STL
Robert Thomas;2800000;STL
Ivan Barbashev;2250000;STL
Noel Acciari;1250000;STL
Nathan Walker;750000;STL
