Nikita Kucherov;9500000;TBL
Brayden Point;9500000;TBL
Steven Stamkos;8500000;TBL
Anthony Cirelli;6250000;TBL
Nicholas Paul;3150000;TBL
Tanner Jeannot;2665000;TBL
Conor Sheary;2000000;TBL
Brandon Hagel;1500000;TBL
Josh Archibald;800000;TBL
Michael Eyssimont;800000;TBL
Luke Glendening;800000;TBL
Tyler Motte;800000;TBL
Logan Brown;775000;TBL
Alex Barre Boulet;758333;TBL
Mikhail Sergachev;8500000;TBL
Victor Hedman;7875000;TBL
Erik Cernak;5200000;TBL
Nick Perbix;1125000;TBL
Zach Bogosian;850000;TBL
Calvin De Haan;775000;TBL
Haydn Fleury;762500;TBL
Darren Raddysh;762500;TBL
Andrei Vasilevskiy;9500000;TBL
Jonas Johansson;775000;TBL
Brent Seabrook;6875000;TBL
Austin Watson;0;TBL
Ilya Usau;897500;TBL
Waltteri Merela;870000;TBL
Maxim Groshev;867500;TBL
Lucas Edmonds;861667;TBL
Bennett Macarthur;859167;TBL
Felix Robert;857500;TBL
Jaydon Dureau;841667;TBL
Gage Goncalves;820000;TBL
Jack Finley;797500;TBL
Gabriel Fortier;775000;TBL
Cole Koepke;775000;TBL
Mitchell Chaffee;775000;TBL
Philippe Myers;1400000;TBL
Emil Martinsen Lilleberg;870000;TBL
Maxwell Crozier;867500;TBL
Declan Carlile;855000;TBL
Jack Thompson;828333;TBL
Roman Schmidt;805833;TBL
Sean Day;775000;TBL
Hugo Alnefelt;850833;TBL
Matt Tomkins;775000;TBL
Alex Ovechkin;9500000;WAS
Nicklas Backstrom;9200000;WAS
Evgeny Kuznetsov;7800000;WAS
Tj Oshie;5750000;WAS
Anthony Mantha;5700000;WAS
Tom Wilson;5166667;WAS
Dylan Strome;5000000;WAS
Sonny Milano;1900000;WAS
Nic Dowd;1300000;WAS
Nicolas Aube Kubel;1225000;WAS
Joe Snively;800000;WAS
Aliaksei Protas;789167;WAS
John Carlson;8000000;WAS
Nick Jensen;4050000;WAS
Trevor Van Riemsdyk1;3000000;WAS
Martin Fehervary;2675000;WAS
Joel Edmundson;1750000;WAS
Rasmus Sandin;1400000;WAS
Alexander Alexeyev;825000;WAS
Darcy Kuemper;5250000;WAS
Charlie Lindgren;1100000;WAS
Max Pacioretty;2000000;WAS
Ivan Miroshnichenko;950000;WAS
Andrew Cristall;905000;WAS
Pierrick Dube;870000;WAS
Hendrix Lapierre;863333;WAS
Connor Mcmichael;863333;WAS
Henry Rybinski;859167;WAS
Bogdan Trineyev;859167;WAS
Ryan Hofer;851667;WAS
Ludwig Persson;846667;WAS
Alexander Suzdalev;846667;WAS
Ethen Frank;775000;WAS
Riley Sutter;775000;WAS
Alex Limoges;775000;WAS
Matthew Phillips;775000;WAS
Michael Sgarbossa;775000;WAS
Beck Malenstyn;762500;WAS
Hardy Haman Aktell;870000;WAS
Vincent Iorio;814167;WAS
Dylan Mcilrath;775000;WAS
Chase Priskie;775000;WAS
Lucas Johansen;762500;WAS
Mitchell Gibson;867500;WAS
Clay Stevenson;855000;WAS
Garin Bjorklund;843333;WAS
Hunter Shepard;775000;WAS
Jordan Kyrou;8125000;STL
Robert Thomas;8125000;STL
Brayden Schenn;6500000;STL
Pavel Buchnevich;5800000;STL
Brandon Saad;4500000;STL
Kevin Hayes;3571429;STL
Kasperi Kapanen;3200000;STL
Jakub Vrana;2625000;STL
Alexey Toropchenko;1250000;STL
Samuel Blais;1000000;STL
Jake Neighbours;835833;STL
Nikita Alexandrov;816667;STL
Oskar Sundqvist;775000;STL
